IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.42,97.7,16.2,Tidak,Menengah,P,Ya,Ya
3.19,87.5,12.6,Tidak,Menengah,L,Tidak,Tidak
3.25,76.6,8.3,Ya,Tinggi,P,Tidak,Tidak
3.24,86.4,14.5,Tidak,Menengah,L,Tidak,Tidak
3.29,83.4,9.8,Tidak,,P,Tidak,Tidak
3.43,91.5,7.6,Tidak,Menengah,P,Ya,Tidak
3.14,81.2,11.3,Tidak,Rendah,L,Ya,Tidak
3.22,80.4,13.9,Ya,Rendah,L,Tidak,Ya
3.33,84.1,4.4,Tidak,Menengah,L,Tidak,Tidak
2.75,69.3,4.5,Tidak,Menengah,P,Tidak,Tidak
3.28,86.2,15.3,Ya,Rendah,P,Ya,Tidak
3.15,72.8,19.2,Tidak,Menengah,P,Tidak,Tidak
3.17,88.8,12.6,Tidak,Tinggi,L,Tidak,Tidak
3.25,83.1,9.6,Tidak,Menengah,L,Tidak,Ya
2.99,76.5,7.0,Ya,Menengah,P,Tidak,Tidak
2.97,61.0,14.9,Ya,Menengah,P,Tidak,Tidak
3.31,93.0,9.5,Ya,Rendah,L,Tidak,Ya
3.27,74.9,7.4,Tidak,Menengah,L,Ya,Tidak
3.28,88.5,10.6,Ya,Menengah,P,Tidak,Ya
3.7,80.1,11.2,Tidak,Rendah,L,Ya,Tidak
3.63,100.0,19.5,Tidak,Menengah,L,Tidak,Ya
3.07,78.0,,Tidak,Menengah,L,Tidak,Ya
3.0,81.4,,Tidak,Tinggi,P,Tidak,Tidak
3.5,,11.5,Tidak,Tinggi,P,Tidak,Ya
2.84,64.5,4.9,Ya,Rendah,P,Tidak,Tidak
3.23,84.1,8.0,Ya,Menengah,P,Tidak,Tidak
3.32,89.0,,Tidak,Menengah,P,Tidak,Ya
3.73,100.0,20.9,Tidak,Tinggi,L,Ya,Ya
3.64,82.2,11.3,Tidak,Rendah,P,Ya,Ya
3.36,88.0,22.6,Tidak,Menengah,L,Tidak,Tidak
3.26,97.8,13.2,Ya,Menengah,P,Ya,Ya
3.06,72.1,,Tidak,Rendah,L,Ya,Tidak
3.65,94.6,15.3,Ya,Rendah,L,Tidak,Ya
3.5,96.4,18.4,Tidak,Menengah,L,Ya,Ya
3.33,97.1,15.6,Tidak,Menengah,L,Tidak,Ya
3.08,82.2,5.2,Tidak,Rendah,L,Ya,Tidak
3.98,99.7,20.0,Tidak,Menengah,L,Tidak,Ya
3.1,63.2,5.7,Tidak,Menengah,P,Ya,Tidak
,98.5,,Ya,Menengah,L,Ya,Ya
3.77,95.6,23.3,Tidak,Rendah,P,Ya,Ya
2.8,,7.8,Ya,Tinggi,P,Tidak,Tidak
3.07,73.2,14.1,Tidak,Rendah,P,Ya,Tidak
3.29,83.5,13.0,Tidak,Menengah,P,Tidak,Ya
3.31,80.5,13.2,Tidak,Rendah,P,Tidak,Tidak
2.52,71.0,8.4,Ya,Rendah,L,Tidak,Tidak
3.54,86.3,10.3,Tidak,Menengah,L,Tidak,Ya
,83.5,6.9,Ya,,L,Ya,Tidak
3.3,90.1,17.1,Tidak,Tinggi,P,Tidak,Ya
2.81,73.2,8.3,Ya,Rendah,P,Ya,Tidak
3.38,100.0,16.8,Tidak,Menengah,L,Ya,Ya
3.18,83.4,7.0,Ya,Rendah,L,Ya,Tidak
3.17,72.4,12.6,Ya,Rendah,P,Ya,Tidak
3.24,94.1,21.2,Ya,Rendah,L,Ya,Ya
2.68,76.3,5.2,Tidak,Menengah,P,Tidak,Ya
3.25,83.2,13.4,Tidak,Menengah,P,Tidak,Tidak
3.91,100.0,21.1,Tidak,Menengah,P,Tidak,Ya
2.76,67.6,6.6,Ya,Menengah,P,Tidak,Tidak
3.03,85.5,14.4,Tidak,Menengah,P,Tidak,Ya
3.28,84.3,10.4,Ya,Rendah,L,Tidak,Ya
3.42,90.1,16.5,Tidak,Menengah,P,Tidak,Ya
2.42,65.0,7.6,Tidak,Tinggi,P,Tidak,Tidak
2.87,62.1,10.7,Tidak,Menengah,L,Tidak,Tidak
3.35,97.7,17.7,Ya,Menengah,L,Tidak,Ya
3.46,80.4,20.9,Ya,Rendah,L,Tidak,Ya
3.65,,15.0,Ya,Menengah,L,Ya,Ya
3.55,72.6,14.6,Tidak,Menengah,P,Tidak,Tidak
3.01,72.9,10.7,Ya,Menengah,P,Tidak,Tidak
3.12,76.8,12.3,Ya,Tinggi,L,Tidak,Ya
3.79,95.9,14.5,Tidak,Rendah,L,Ya,Ya
3.06,82.9,9.2,Ya,Rendah,P,Tidak,Tidak
3.77,95.5,19.5,Ya,Menengah,L,Tidak,Ya
3.38,100.0,17.9,Ya,Tinggi,L,Tidak,Ya
2.96,78.4,5.5,Ya,Rendah,P,Tidak,Tidak
3.41,86.9,18.0,Tidak,,P,Tidak,Ya
2.88,,12.8,Tidak,Rendah,L,Ya,Tidak
3.37,100.0,14.9,Ya,Rendah,L,Tidak,Ya
3.57,84.7,10.6,Tidak,Menengah,L,Ya,Ya
2.92,65.3,7.9,Ya,Menengah,P,Tidak,Tidak
3.39,98.1,19.6,Ya,Rendah,P,Ya,Ya
3.38,100.0,13.9,Ya,Menengah,L,Tidak,Ya
3.43,99.1,12.6,Ya,Rendah,P,Ya,Ya
4.0,100.0,17.7,Tidak,Rendah,P,Ya,Ya
2.71,84.5,14.0,Tidak,Menengah,L,Ya,Tidak
3.24,81.6,11.4,Tidak,Tinggi,L,Ya,Tidak
3.23,79.7,8.7,Tidak,Tinggi,P,Tidak,Tidak
2.65,77.4,8.6,Tidak,Rendah,L,Tidak,Tidak
3.17,83.0,11.1,Tidak,Tinggi,L,Tidak,Ya
3.28,85.7,11.1,Ya,Menengah,P,Ya,Ya
3.07,80.8,18.1,Ya,Menengah,P,Ya,Ya
3.34,88.7,14.5,Tidak,Menengah,P,Ya,Ya
3.05,72.5,16.0,Tidak,Menengah,P,Ya,Tidak
3.97,95.5,21.9,Ya,Rendah,P,Tidak,Ya
3.34,74.4,14.4,Tidak,Rendah,L,Ya,Tidak
4.0,100.0,20.8,Tidak,Rendah,P,Ya,Ya
3.55,89.8,15.8,Tidak,Rendah,L,Ya,Ya
2.81,84.0,9.4,Ya,Menengah,L,Ya,Ya
2.86,79.1,6.2,Tidak,Menengah,P,Tidak,Tidak
3.47,77.5,,Ya,Menengah,P,Tidak,Ya
2.97,74.8,8.4,Tidak,Rendah,L,Ya,Tidak
3.58,95.3,18.4,Tidak,Tinggi,P,Tidak,Tidak
3.34,81.1,12.8,Tidak,Tinggi,L,Tidak,Ya
3.16,80.9,12.8,Tidak,Menengah,L,Ya,Ya
3.14,78.8,,Ya,Tinggi,L,Tidak,Tidak
2.91,63.3,6.4,Ya,Menengah,P,Tidak,Tidak
,79.6,12.6,Ya,Tinggi,P,Tidak,Tidak
3.7,82.4,14.2,Ya,Rendah,L,Ya,Ya
,81.2,15.7,Ya,Menengah,P,Tidak,Tidak
3.02,73.8,4.3,Ya,Rendah,L,Ya,Tidak
3.4,74.6,13.5,Ya,Rendah,P,Ya,Ya
3.3,89.2,19.3,Tidak,Rendah,L,Tidak,Tidak
3.06,74.9,6.6,Tidak,Menengah,L,Tidak,Tidak
3.07,87.9,11.1,Tidak,Menengah,P,Ya,Ya
3.43,84.9,14.2,Ya,Menengah,L,Tidak,Ya
2.9,81.2,9.0,Tidak,Rendah,L,Ya,Ya
3.26,87.0,14.7,Tidak,Tinggi,P,Tidak,Ya
3.59,85.4,15.9,Ya,Menengah,P,Tidak,Tidak
3.42,93.5,18.1,Ya,Menengah,L,Tidak,Ya
3.29,95.9,19.3,Ya,Menengah,L,Ya,Ya
2.59,70.9,8.8,Tidak,Rendah,L,Tidak,Tidak
3.1,74.8,8.5,Ya,Rendah,P,Ya,Tidak
3.16,83.2,16.2,Tidak,Tinggi,L,Tidak,Tidak
3.71,83.5,19.7,Tidak,Rendah,P,Ya,Tidak
3.02,78.9,13.9,Tidak,Menengah,P,Tidak,Ya
4.0,100.0,23.3,Tidak,Tinggi,L,Tidak,Ya
3.45,80.4,17.6,Tidak,Menengah,L,Tidak,Ya
3.55,88.9,16.1,Ya,Rendah,L,Tidak,Tidak
3.42,87.1,9.7,Tidak,Rendah,L,Ya,Ya
,94.5,17.2,Ya,Rendah,P,Ya,Tidak
3.16,78.3,9.9,Tidak,Menengah,L,Tidak,Tidak
3.66,97.7,14.9,Tidak,Menengah,L,Ya,Ya
3.06,71.8,10.7,Tidak,Rendah,P,Tidak,Tidak
3.21,82.6,12.2,Tidak,Tinggi,L,Tidak,Tidak
3.05,73.4,12.8,Ya,Menengah,P,Tidak,Tidak
3.26,97.2,11.6,Tidak,Rendah,L,Ya,Ya
3.95,96.4,22.1,Tidak,Menengah,P,Tidak,Ya
2.42,68.1,,Tidak,Menengah,P,Tidak,Tidak
3.2,93.2,,Tidak,Rendah,P,Ya,Ya
2.94,71.0,8.6,Ya,Rendah,P,Ya,Tidak
3.15,77.6,8.2,Tidak,Tinggi,L,Tidak,Tidak
3.52,92.0,19.4,Ya,Menengah,L,Tidak,Ya
3.27,83.9,11.2,Ya,Menengah,P,Tidak,Ya
3.01,72.4,11.0,Ya,Menengah,P,Tidak,Tidak
2.95,82.6,11.0,Ya,Rendah,L,Tidak,Ya
3.3,100.0,20.1,Ya,Rendah,L,Ya,Ya
3.08,72.9,9.3,Ya,Menengah,L,Tidak,Tidak
3.13,76.4,12.3,Ya,Rendah,L,Tidak,Tidak
3.34,82.9,12.6,Tidak,Rendah,L,Ya,Ya
2.76,93.3,9.4,Tidak,Tinggi,P,Tidak,Ya
4.0,97.3,22.3,Tidak,Tinggi,L,Tidak,Ya
3.51,99.0,10.1,Ya,Menengah,L,Tidak,Ya
2.73,75.3,2.4,Ya,Tinggi,P,Tidak,Tidak
3.48,81.2,10.1,Tidak,Rendah,P,Ya,Ya
3.37,80.6,12.9,Ya,Tinggi,P,Tidak,Tidak
3.67,100.0,20.3,Tidak,Rendah,P,Tidak,Ya
2.7,73.5,9.4,Tidak,Tinggi,L,Tidak,Tidak
2.99,80.7,11.6,Ya,Tinggi,P,Tidak,Tidak
3.28,83.9,14.5,Tidak,Menengah,P,Ya,Ya
3.49,84.4,18.8,Tidak,Tinggi,L,Tidak,Tidak
3.01,68.1,5.7,Ya,Menengah,P,Tidak,Tidak
3.03,72.3,12.0,Ya,Rendah,P,Ya,Tidak
3.15,78.9,13.6,Tidak,Menengah,L,Tidak,Ya
2.93,72.3,,Ya,Menengah,L,Ya,Tidak
3.63,100.0,19.2,Tidak,Rendah,L,Tidak,Ya
3.11,76.9,16.8,Tidak,Menengah,L,Ya,Tidak
2.73,73.7,1.0,Tidak,Tinggi,L,Tidak,Tidak
3.26,96.5,17.6,Ya,,P,Tidak,Ya
3.66,89.6,18.1,Tidak,Menengah,L,Tidak,Ya
3.73,94.7,10.9,Ya,Tinggi,P,Tidak,Ya
2.66,77.0,8.6,Ya,Tinggi,P,Tidak,Tidak
3.59,71.0,14.7,Ya,Tinggi,P,Tidak,Ya
3.69,100.0,16.6,Tidak,Menengah,P,Ya,Ya
3.09,79.2,12.7,Ya,Tinggi,L,Tidak,Tidak
3.22,82.6,18.6,Tidak,Menengah,L,Tidak,Ya
3.59,89.6,18.9,Tidak,Rendah,P,Ya,Tidak
2.89,78.1,13.9,Tidak,Menengah,P,Tidak,Tidak
3.26,82.9,14.4,Tidak,Menengah,P,Tidak,Tidak
2.81,,1.3,Ya,Rendah,L,Tidak,Tidak
2.95,,4.4,Tidak,Menengah,P,Tidak,Tidak
3.39,81.8,10.9,Tidak,Menengah,L,Tidak,Ya
2.78,62.9,5.7,Ya,Rendah,P,Ya,Tidak
3.7,,24.4,Tidak,Menengah,P,Ya,Ya
3.17,64.4,7.0,Ya,Menengah,L,Tidak,Tidak
3.02,74.4,11.3,Tidak,Menengah,P,Tidak,Tidak
3.61,91.9,14.5,Ya,Rendah,L,Ya,Ya
3.78,100.0,17.7,Ya,Rendah,L,Tidak,Ya
2.75,73.9,12.3,Tidak,Rendah,P,Tidak,Tidak
3.69,86.6,14.8,Tidak,Tinggi,P,Tidak,Ya
3.43,81.1,13.1,Tidak,Rendah,P,Ya,Ya
3.09,81.8,7.0,Ya,Menengah,P,Tidak,Tidak
3.1,,10.4,Tidak,Rendah,L,Tidak,Ya
3.17,99.3,11.5,Tidak,Rendah,P,Tidak,Ya
3.04,80.1,10.3,Tidak,Tinggi,P,Tidak,Ya
3.26,84.8,11.5,Tidak,Menengah,L,Tidak,Tidak
3.25,77.6,9.2,Tidak,Rendah,P,Ya,Ya
3.31,84.9,8.9,Ya,Menengah,L,Ya,Ya
3.19,,14.6,Tidak,Rendah,P,Tidak,Ya
3.76,100.0,13.8,Tidak,Menengah,L,Tidak,Ya
3.02,77.8,10.3,Ya,Menengah,L,Tidak,Tidak
3.94,97.3,20.2,Ya,Rendah,L,Ya,Ya
,57.0,1.5,Tidak,Rendah,P,Ya,Tidak
3.36,70.1,11.1,Tidak,Menengah,L,Tidak,Tidak
3.5,91.5,12.4,Tidak,Tinggi,L,Tidak,Ya
3.32,78.6,14.4,Ya,Tinggi,P,Tidak,Ya
2.78,63.9,14.1,Tidak,Rendah,P,Tidak,Tidak
3.27,83.6,6.5,Ya,Menengah,L,Tidak,Ya
3.15,94.2,11.1,Ya,Menengah,L,Tidak,Ya
3.14,77.6,10.0,Tidak,Menengah,L,Tidak,Tidak
3.26,95.9,17.4,Tidak,Menengah,L,Tidak,Tidak
3.15,86.7,14.4,Tidak,Tinggi,P,Tidak,Ya
3.25,76.1,7.9,Tidak,Tinggi,P,Tidak,Ya
3.49,96.9,14.8,Tidak,Menengah,P,Tidak,Ya
3.46,84.0,11.3,Ya,Rendah,L,Tidak,Ya
3.48,,18.4,Ya,Menengah,P,Ya,Tidak
3.43,90.7,14.8,Ya,Rendah,P,Ya,Ya
3.19,71.3,15.0,Ya,Menengah,P,Tidak,Tidak
3.0,84.2,10.4,Tidak,Rendah,P,Ya,Ya
3.47,88.6,13.1,Tidak,Menengah,P,Ya,Tidak
3.34,83.8,10.4,Tidak,Rendah,P,Ya,Ya
3.17,,7.3,Ya,Rendah,L,Tidak,Tidak
3.23,78.4,8.4,Ya,Tinggi,P,Tidak,Tidak
3.64,94.7,17.7,Ya,Rendah,P,Ya,Ya
3.0,77.6,11.9,Tidak,Menengah,P,Ya,Tidak
3.63,94.7,9.9,Tidak,Rendah,L,Tidak,Ya
3.03,84.2,14.3,Ya,Rendah,P,Ya,Tidak
3.16,80.9,10.4,Tidak,Rendah,P,Tidak,Tidak
3.48,98.0,16.8,Ya,Rendah,L,Tidak,Ya
3.74,99.2,20.0,Ya,Tinggi,L,Tidak,Ya
3.51,93.8,17.9,Ya,Rendah,P,Ya,Ya
3.8,94.8,,Tidak,Tinggi,P,Tidak,Ya
2.99,75.0,10.0,Tidak,Menengah,P,Ya,Tidak
3.49,82.5,,Tidak,Menengah,L,Tidak,Ya
3.32,78.3,9.4,Tidak,Menengah,P,Tidak,Tidak
3.35,82.1,13.0,Tidak,Menengah,L,Tidak,Ya
3.41,80.7,9.2,Ya,Menengah,L,Ya,Ya
3.18,84.2,12.5,Ya,Rendah,L,Ya,Tidak
3.67,91.7,14.8,Tidak,Rendah,L,Tidak,Ya
3.44,75.2,9.0,Tidak,Tinggi,L,Tidak,Tidak
3.76,100.0,18.0,Tidak,Tinggi,L,Tidak,Ya
2.89,74.3,9.4,Tidak,Tinggi,L,Tidak,Tidak
3.17,59.7,9.5,Ya,Menengah,L,Tidak,Tidak
,87.6,13.5,Tidak,Menengah,P,Tidak,Ya
3.38,89.2,19.3,Tidak,Menengah,L,Tidak,Ya
3.35,81.0,14.4,Tidak,Menengah,L,Tidak,Tidak
3.37,92.4,14.8,Ya,Rendah,P,Ya,Ya
3.0,92.5,,Ya,Menengah,L,Ya,Ya
2.84,82.5,,Tidak,Rendah,P,Tidak,Tidak
3.09,82.3,15.5,Tidak,Rendah,L,Ya,Ya
2.92,86.2,10.9,Ya,Tinggi,L,Tidak,Tidak
3.51,92.7,14.2,Ya,Rendah,P,Ya,Ya
3.25,79.6,13.0,Tidak,Rendah,P,Ya,Ya
3.3,71.7,6.4,Ya,Rendah,P,Ya,Ya
,78.2,11.7,Ya,Tinggi,P,Tidak,Tidak
3.54,84.3,13.9,Ya,Menengah,P,Ya,Ya
3.06,,9.9,Ya,Menengah,L,Tidak,Tidak
3.01,76.6,9.2,Ya,,L,Ya,Ya
3.44,85.2,8.0,Tidak,Tinggi,L,Tidak,Tidak
3.12,87.9,11.8,Ya,Rendah,L,Ya,Ya
3.18,85.9,11.0,Tidak,Menengah,P,Tidak,Ya
3.15,84.7,11.3,Ya,Menengah,P,Tidak,Tidak
3.4,75.8,10.4,Tidak,Menengah,L,Tidak,Ya
2.9,53.9,11.0,Ya,Rendah,P,Tidak,Tidak
3.3,76.2,,Ya,Tinggi,P,Tidak,Ya
2.94,67.9,12.7,Tidak,Menengah,L,Tidak,Tidak
3.1,79.7,13.0,Ya,Rendah,L,Tidak,Tidak
3.22,78.5,11.8,Tidak,Menengah,L,Ya,Ya
3.56,,22.7,Ya,Rendah,L,Ya,Tidak
3.37,94.1,12.1,Tidak,Rendah,L,Ya,Ya
3.42,86.3,14.5,Tidak,Menengah,P,Ya,Ya
3.5,79.2,15.3,Ya,Rendah,L,Tidak,Ya
2.87,57.7,7.1,Tidak,Menengah,L,Tidak,Tidak
3.1,79.4,16.4,Ya,Menengah,P,Tidak,Tidak
3.25,82.9,10.8,Tidak,Rendah,P,Tidak,Ya
,76.6,14.5,Tidak,Tinggi,P,Tidak,Tidak
3.13,76.7,10.3,Tidak,Rendah,L,Tidak,Ya
3.43,87.6,13.9,Ya,Rendah,L,Ya,Tidak
3.4,100.0,20.2,Tidak,Rendah,P,Ya,Ya
3.5,82.8,14.4,Tidak,Rendah,L,Ya,Tidak
3.68,80.5,9.0,Tidak,Rendah,L,Ya,Ya
3.33,96.7,18.6,Tidak,Menengah,P,Ya,Ya
3.07,78.4,6.4,Ya,Tinggi,P,Tidak,Tidak
3.36,84.9,16.2,Ya,Rendah,L,Tidak,Ya
3.31,77.3,15.7,Tidak,Menengah,L,Tidak,Tidak
3.4,81.1,9.7,Ya,Menengah,L,Tidak,Ya
3.4,70.5,8.6,Tidak,Tinggi,L,Tidak,Tidak
3.22,82.1,9.5,Ya,Menengah,L,Ya,Tidak
3.24,98.2,13.6,Ya,Rendah,L,Ya,Ya
3.4,87.5,16.7,Ya,Rendah,L,Tidak,Tidak
3.38,81.5,18.1,Tidak,Menengah,P,Tidak,Tidak
3.84,100.0,23.8,Ya,Tinggi,P,Tidak,Ya
3.36,74.8,13.8,Tidak,Rendah,P,Ya,Tidak
3.4,86.7,14.0,Ya,,L,Tidak,Ya
3.34,91.2,12.6,Tidak,Tinggi,L,Tidak,Ya
3.85,99.0,15.4,Ya,Tinggi,L,Tidak,Ya
3.24,87.2,,Ya,Tinggi,L,Tidak,Ya
3.47,79.7,12.3,Ya,Menengah,L,Tidak,Tidak
2.99,74.5,15.0,Tidak,Menengah,P,Tidak,Tidak
2.57,77.4,1.5,Ya,Menengah,P,Tidak,Tidak
3.29,74.5,9.0,Tidak,Menengah,P,Tidak,Tidak
3.16,80.8,9.8,Ya,Rendah,L,Tidak,Tidak
3.62,86.2,13.8,Tidak,Menengah,P,Tidak,Ya
3.45,94.2,11.4,Tidak,Menengah,L,Tidak,Ya
3.71,100.0,20.3,Tidak,Rendah,L,Ya,Ya
3.62,91.8,14.5,Tidak,Menengah,L,Ya,Tidak
3.29,,10.4,Tidak,Menengah,P,Tidak,Tidak
,77.8,10.9,Tidak,Tinggi,P,Tidak,Tidak
3.48,83.2,14.2,Tidak,Rendah,L,Tidak,Tidak
3.08,83.7,6.6,Ya,Rendah,P,Ya,Tidak
3.97,100.0,18.6,Ya,Menengah,P,Tidak,Ya
3.83,91.3,16.4,Tidak,Rendah,L,Ya,Ya
3.24,79.9,9.8,Tidak,Menengah,L,Tidak,Tidak
2.75,,5.8,Tidak,Menengah,L,Tidak,Tidak
3.65,89.1,21.8,Tidak,Rendah,P,Tidak,Tidak
3.44,89.5,13.7,Ya,Menengah,L,Tidak,Ya
3.45,90.0,16.0,Ya,Menengah,P,Tidak,Ya
2.87,62.1,8.9,Tidak,Menengah,L,Tidak,Tidak
3.01,81.0,9.4,Tidak,Tinggi,P,Tidak,Tidak
3.26,,15.8,Tidak,Tinggi,L,Tidak,Ya
3.49,87.9,13.7,Ya,Menengah,P,Tidak,Ya
3.16,85.2,10.6,Ya,Menengah,P,Tidak,Ya
3.43,83.9,,Tidak,Menengah,P,Tidak,Tidak
2.71,64.5,4.3,Tidak,Tinggi,P,Tidak,Tidak
3.34,91.1,8.8,Ya,Menengah,L,Ya,Tidak
,82.1,9.5,Ya,,P,Tidak,Ya
3.78,86.1,14.7,Tidak,Tinggi,L,Tidak,Ya
3.39,97.7,19.9,Tidak,Rendah,L,Tidak,Ya
2.98,76.3,14.9,Tidak,Tinggi,P,Tidak,Tidak
2.87,72.0,8.9,Ya,Rendah,L,Ya,Tidak
3.89,100.0,18.4,Tidak,Rendah,P,Ya,Ya
3.32,82.0,8.6,Tidak,Rendah,P,Tidak,Ya
3.09,82.1,8.3,Ya,Tinggi,L,Tidak,Tidak
3.79,97.3,15.7,Tidak,Tinggi,P,Tidak,Ya
3.32,85.7,11.1,Ya,Menengah,L,Tidak,Ya
3.5,100.0,16.2,Tidak,,L,Tidak,Tidak
3.3,86.8,11.4,Tidak,Menengah,L,Tidak,Tidak
4.0,100.0,14.1,Ya,Tinggi,P,Tidak,Ya
3.55,,20.8,Tidak,Menengah,P,Ya,Ya
3.2,78.5,,Ya,Menengah,P,Ya,Tidak
3.39,86.5,16.6,Tidak,Rendah,P,Tidak,Tidak
3.64,82.3,20.6,Tidak,Menengah,L,Tidak,Ya
3.36,83.0,14.7,Ya,Menengah,L,Tidak,Tidak
2.88,87.2,1.9,Tidak,Menengah,P,Tidak,Tidak
